Style|SKU|prediction|count
JNE3546|JNE3546-KR-XL|7|2
JNE3556|JNE3556-KR-S|7|2
JNE3547|JNE3547-KR-L|7|2
JNE3698|JNE3698-KR-M|7|2
JNE3489|JNE3489-KR-XL|7|2
JNE3405|JNE3405-KR-M|7|2
JNE2009|JNE2009-KR-310-XL|7|2
JNE3564|JNE3564-KR-L|7|2
JNE3405|JNE3405-KR-XXXL|7|2
JNE3567|JNE3567-KR-XL|7|2
JNE3560|JNE3560-KR-M|7|2
JNE3628|JNE3628-KR-S|7|2
JNE3435|JNE3435-KR-XXXL|7|2
JNE3405|JNE3405-KR-L|7|2
JNE3697|JNE3697-KR-XL|7|2
JNE3546|JNE3546-KR-XXL|7|2
JNE3612|JNE3612-KR-XXL|7|2
SET334|SET334-KR-NP-M|7|2
JNE3556|JNE3556-KR-L|7|2
JNE3384|JNE3384-KR-XL|7|2
JNE3602|JNE3602-KR-L|7|2
JNE3612|JNE3612-KR-M|7|2
JNE2014|JNE2014-KR-178-XL|7|2
JNE3548|JNE3548-KR-XXXL|7|2
JNE3561|JNE3561-KR-XXL|7|2
JNE3546|JNE3546-KR-M|7|2
JNE3435|JNE3435-KR-XXL|7|2
